run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20260516-22:34:32-3550,runattr,,,configname,General,,
General-0-20260516-22:34:32-3550,runattr,,,datetime,20260516-22:34:32,,
General-0-20260516-22:34:32-3550,runattr,,,datetimef,20260516-223432,,
General-0-20260516-22:34:32-3550,runattr,,,experiment,General,,
General-0-20260516-22:34:32-3550,runattr,,,inifile,n100-gw1.ini,,
General-0-20260516-22:34:32-3550,runattr,,,iterationvars,"$0=""avg""",,
General-0-20260516-22:34:32-3550,runattr,,,iterationvarsd,avg,,
General-0-20260516-22:34:32-3550,runattr,,,iterationvarsf,avg-,,
General-0-20260516-22:34:32-3550,runattr,,,measurement,"$0=""avg""",,
General-0-20260516-22:34:32-3550,runattr,,,network,flora.simulations.LoRaNetworkTest,,
General-0-20260516-22:34:32-3550,runattr,,,processid,3550,,
General-0-20260516-22:34:32-3550,runattr,,,repetition,0,,
General-0-20260516-22:34:32-3550,runattr,,,replication,#0,,
General-0-20260516-22:34:32-3550,runattr,,,resultdir,results,,
General-0-20260516-22:34:32-3550,runattr,,,runnumber,0,,
General-0-20260516-22:34:32-3550,runattr,,,seedset,0,,
General-0-20260516-22:34:32-3550,config,,,image-path,../../../inet4.4/images,,
General-0-20260516-22:34:32-3550,config,,,network,flora.simulations.LoRaNetworkTest,,
General-0-20260516-22:34:32-3550,config,,,output-vector-file,../results/n100-gw1-s0.ini.vec,,
General-0-20260516-22:34:32-3550,config,,,**.maxTransmissionDuration,4s,,
General-0-20260516-22:34:32-3550,config,,,**.energyDetection,-110dBm,,
General-0-20260516-22:34:32-3550,config,,,**.vector-recording,true,,
General-0-20260516-22:34:32-3550,config,,,rng-class,cMersenneTwister,,
General-0-20260516-22:34:32-3550,config,,,**.loRaGW[*].numUdpApps,1,,
General-0-20260516-22:34:32-3550,config,,,**.loRaGW[0].packetForwarder.localPort,2000,,
General-0-20260516-22:34:32-3550,config,,,**.loRaGW[0].packetForwarder.destPort,1000,,
General-0-20260516-22:34:32-3550,config,,,**.loRaGW[0].packetForwarder.destAddresses,"""networkServer""",,
General-0-20260516-22:34:32-3550,config,,,**.loRaGW[0].packetForwarder.indexNumber,0,,
General-0-20260516-22:34:32-3550,config,,,**.networkServer.numApps,1,,
