run,type,module,name,attrname,attrvalue,value
General-9-20260518-02:22:33-2782,runattr,,,configname,General,
General-9-20260518-02:22:33-2782,runattr,,,datetime,20260518-02:22:33,
General-9-20260518-02:22:33-2782,runattr,,,datetimef,20260518-022233,
General-9-20260518-02:22:33-2782,runattr,,,experiment,General,
General-9-20260518-02:22:33-2782,runattr,,,inifile,n100-gw1.ini,
General-9-20260518-02:22:33-2782,runattr,,,iterationvars,"$0=""avg""",
General-9-20260518-02:22:33-2782,runattr,,,iterationvarsd,avg,
General-9-20260518-02:22:33-2782,runattr,,,iterationvarsf,avg-,
General-9-20260518-02:22:33-2782,runattr,,,measurement,"$0=""avg""",
General-9-20260518-02:22:33-2782,runattr,,,network,flora.simulations.LoRaNetworkTest,
General-9-20260518-02:22:33-2782,runattr,,,processid,2782,
General-9-20260518-02:22:33-2782,runattr,,,repetition,9,
General-9-20260518-02:22:33-2782,runattr,,,replication,#9,
General-9-20260518-02:22:33-2782,runattr,,,resultdir,results,
General-9-20260518-02:22:33-2782,runattr,,,runnumber,9,
General-9-20260518-02:22:33-2782,runattr,,,seedset,9,
General-9-20260518-02:22:33-2782,config,,,image-path,../../../inet4.4/images,
General-9-20260518-02:22:33-2782,config,,,network,flora.simulations.LoRaNetworkTest,
General-9-20260518-02:22:33-2782,config,,,output-vector-file,../results/n100-gw1-s9.ini.vec,
General-9-20260518-02:22:33-2782,config,,,**.maxTransmissionDuration,4s,
General-9-20260518-02:22:33-2782,config,,,**.energyDetection,-110dBm,
General-9-20260518-02:22:33-2782,config,,,**.vector-recording,true,
General-9-20260518-02:22:33-2782,config,,,rng-class,cMersenneTwister,
General-9-20260518-02:22:33-2782,config,,,**.loRaGW[*].numUdpApps,1,
General-9-20260518-02:22:33-2782,config,,,**.loRaGW[0].packetForwarder.localPort,2000,
General-9-20260518-02:22:33-2782,config,,,**.loRaGW[0].packetForwarder.destPort,1000,
General-9-20260518-02:22:33-2782,config,,,**.loRaGW[0].packetForwarder.destAddresses,"""networkServer""",
General-9-20260518-02:22:33-2782,config,,,**.loRaGW[0].packetForwarder.indexNumber,0,
General-9-20260518-02:22:33-2782,config,,,**.networkServer.numApps,1,
General-9-20260518-02:22:33-2782,config,,,**.networkServer.**.evaluateADRinServer,true,
General-9-20260518-02:22:33-2782,config,,,**.networkServer.app[0].typename,NetworkServerApp,
General-9-20260518-02:22:33-2782,config,,,**.networkServer.app[0].destAddresses,"""loRaGW[0]""",
General-9-20260518-02:22:33-2782,config,,,**.networkServer.app[0].destPort,2000,
General-9-20260518-02:22:33-2782,config,,,**.networkServer.app[0].localPort,1000,
General-9-20260518-02:22:33-2782,config,,,**.networkServer.app[0].adrMethod,"""avg""",
General-9-20260518-02:22:33-2782,config,,,**.numberOfPacketsToSend,0,
General-9-20260518-02:22:33-2782,config,,,sim-time-limit,3d,
General-9-20260518-02:22:33-2782,config,,,warmup-period,2h,
General-9-20260518-02:22:33-2782,config,,,simtime-resolution,-11,
General-9-20260518-02:22:33-2782,config,,,repeat,20,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[0].app[0].timeToFirstPacket,12h 50ms,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[0].app[0].timeToNextPacket,1h,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[1].app[0].timeToFirstPacket,"uniform(4h, 5h)",
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[1].app[0].timeToNextPacket,1h,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[2].app[0].timeToFirstPacket,12h,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[3].app[0].timeToFirstPacket,12h 100ms,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[4].app[0].timeToFirstPacket,12h 200ms,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[5].app[0].timeToFirstPacket,12h 300ms,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[{2..5}].app[0].timeToNextPacket,24h,
General-9-20260518-02:22:33-2782,config,,,**.alohaChannelModel,false,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[*].**.initFromDisplayString,false,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[*].**.evaluateADRinNode,true,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[*].**initialLoRaBW,125 kHz,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[*].**initialLoRaCR,4,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[*].numApps,1,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[*].app[0].typename,SimpleLoRaApp,
General-9-20260518-02:22:33-2782,config,,,**.LoRaGWNic.radio.iAmGateway,true,
General-9-20260518-02:22:33-2782,config,,,**.loRaGW[*].**.initFromDisplayString,false,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.typename,LoRaEnergyConsumer,
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[*].**.energySourceModule,"""^.IdealEpEnergyStorage""",
General-9-20260518-02:22:33-2782,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.configFile,"xmldoc(""../energyConsumptionParameters.xml"")",
General-9-20260518-02:22:33-2782,config,,,**.sigma,3.57,
General-9-20260518-02:22:33-2782,config,,,**.constraintAreaMinX,0m,
General-9-20260518-02:22:33-2782,config,,,**.constraintAreaMinY,0m,
General-9-20260518-02:22:33-2782,config,,,**.constraintAreaMinZ,0m,
