run,type,module,name,attrname,attrvalue,value
General-1-20260518-23:34:40-35278,runattr,,,configname,General,
General-1-20260518-23:34:40-35278,runattr,,,datetime,20260518-23:34:40,
General-1-20260518-23:34:40-35278,runattr,,,datetimef,20260518-233440,
General-1-20260518-23:34:40-35278,runattr,,,experiment,General,
General-1-20260518-23:34:40-35278,runattr,,,inifile,n100-gw1.ini,
General-1-20260518-23:34:40-35278,runattr,,,iterationvars,"$0=""avg""",
General-1-20260518-23:34:40-35278,runattr,,,iterationvarsd,avg,
General-1-20260518-23:34:40-35278,runattr,,,iterationvarsf,avg-,
General-1-20260518-23:34:40-35278,runattr,,,measurement,"$0=""avg""",
General-1-20260518-23:34:40-35278,runattr,,,network,flora.simulations.LoRaNetworkTest,
General-1-20260518-23:34:40-35278,runattr,,,processid,35278,
General-1-20260518-23:34:40-35278,runattr,,,repetition,1,
General-1-20260518-23:34:40-35278,runattr,,,replication,#1,
General-1-20260518-23:34:40-35278,runattr,,,resultdir,results,
General-1-20260518-23:34:40-35278,runattr,,,runnumber,1,
General-1-20260518-23:34:40-35278,runattr,,,seedset,1,
General-1-20260518-23:34:40-35278,config,,,image-path,../../../inet4.4/images,
General-1-20260518-23:34:40-35278,config,,,network,flora.simulations.LoRaNetworkTest,
General-1-20260518-23:34:40-35278,config,,,output-vector-file,../results/n100-gw1-s1.ini.vec,
General-1-20260518-23:34:40-35278,config,,,**.maxTransmissionDuration,4s,
General-1-20260518-23:34:40-35278,config,,,**.energyDetection,-110dBm,
General-1-20260518-23:34:40-35278,config,,,rng-class,cMersenneTwister,
General-1-20260518-23:34:40-35278,config,,,**.loRaGW[*].numUdpApps,1,
General-1-20260518-23:34:40-35278,config,,,**.loRaGW[0].packetForwarder.localPort,2000,
General-1-20260518-23:34:40-35278,config,,,**.loRaGW[0].packetForwarder.destPort,1000,
General-1-20260518-23:34:40-35278,config,,,**.loRaGW[0].packetForwarder.destAddresses,"""networkServer""",
General-1-20260518-23:34:40-35278,config,,,**.loRaGW[0].packetForwarder.indexNumber,0,
General-1-20260518-23:34:40-35278,config,,,**.networkServer.numApps,1,
General-1-20260518-23:34:40-35278,config,,,**.networkServer.**.evaluateADRinServer,true,
General-1-20260518-23:34:40-35278,config,,,**.networkServer.app[0].typename,NetworkServerApp,
General-1-20260518-23:34:40-35278,config,,,**.networkServer.app[0].destAddresses,"""loRaGW[0]""",
General-1-20260518-23:34:40-35278,config,,,**.networkServer.app[0].destPort,2000,
General-1-20260518-23:34:40-35278,config,,,**.networkServer.app[0].localPort,1000,
General-1-20260518-23:34:40-35278,config,,,**.networkServer.app[0].adrMethod,"""avg""",
General-1-20260518-23:34:40-35278,config,,,**.numberOfPacketsToSend,0,
General-1-20260518-23:34:40-35278,config,,,sim-time-limit,3d,
General-1-20260518-23:34:40-35278,config,,,warmup-period,2h,
General-1-20260518-23:34:40-35278,config,,,simtime-resolution,-11,
General-1-20260518-23:34:40-35278,config,,,repeat,3,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[0..19].app[0].timeToFirstPacket,exponential(1h),
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[0..19].app[0].timeToNextPacket,exponential(1h),
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[20..24].app[0].timeToFirstPacket,exponential(24h),
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[20..24].app[0].timeToNextPacket,exponential(24h),
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[25..39].app[0].timeToFirstPacket,exponential(4h),
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[25..39].app[0].timeToNextPacket,exponential(4h),
General-1-20260518-23:34:40-35278,config,,,**.alohaChannelModel,false,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[*].**.initFromDisplayString,false,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[*].**.evaluateADRinNode,true,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[*].**initialLoRaBW,125 kHz,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[*].**initialLoRaCR,4,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[*].numApps,1,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[*].app[0].typename,SimpleLoRaApp,
General-1-20260518-23:34:40-35278,config,,,**.LoRaGWNic.radio.iAmGateway,true,
General-1-20260518-23:34:40-35278,config,,,**.loRaGW[*].**.initFromDisplayString,false,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.typename,LoRaEnergyConsumer,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[*].**.energySourceModule,"""^.IdealEpEnergyStorage""",
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.configFile,"xmldoc(""../energyConsumptionParameters.xml"")",
General-1-20260518-23:34:40-35278,config,,,**.sigma,3.57,
General-1-20260518-23:34:40-35278,config,,,**.constraintAreaMinX,0m,
General-1-20260518-23:34:40-35278,config,,,**.constraintAreaMinY,0m,
General-1-20260518-23:34:40-35278,config,,,**.constraintAreaMinZ,0m,
General-1-20260518-23:34:40-35278,config,,,**.constraintAreaMaxZ,0m,
General-1-20260518-23:34:40-35278,config,,,LoRaNetworkTest.**.radio.separateTransmissionParts,false,
General-1-20260518-23:34:40-35278,config,,,LoRaNetworkTest.**.radio.separateReceptionParts,false,
General-1-20260518-23:34:40-35278,config,,,**.ipv4Delayer.config,"xmldoc(""../cloudDelays.xml"")",
General-1-20260518-23:34:40-35278,config,,,**.radio.radioMediumModule,"""LoRaMedium""",
General-1-20260518-23:34:40-35278,config,,,**.LoRaMedium.pathLossType,"""LoRaLogNormalShadowing""",
General-1-20260518-23:34:40-35278,config,,,**.minInterferenceTime,0s,
General-1-20260518-23:34:40-35278,config,,,**.displayAddresses,false,
General-1-20260518-23:34:40-35278,config,,,**.numberOfNodes,40,
General-1-20260518-23:34:40-35278,config,,,**.numberOfGateways,1,
General-1-20260518-23:34:40-35278,config,,,**.constraintAreaMaxX,2376.0m,
General-1-20260518-23:34:40-35278,config,,,**.constraintAreaMaxY,1090.0m,
General-1-20260518-23:34:40-35278,config,,,**.loRaGW[0].**.initialX,544.00m,
General-1-20260518-23:34:40-35278,config,,,**.loRaGW[0].**.initialY,544.00m,
General-1-20260518-23:34:40-35278,config,,,output-scalar-file,../results/n100-gw1-s1.ini.sca,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[0..19].app[0].sendInterval,exponential(1h),
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[20..24].app[0].sendInterval,exponential(24h),
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[25..39].app[0].sendInterval,exponential(4h),
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[0].**.initialX,756.75m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[0].**.initialY,475.93m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[1].**.initialX,289.82m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[1].**.initialY,362.58m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[2].**.initialX,624.29m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[2].**.initialY,663.75m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[3].**.initialX,602.66m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[3].**.initialY,478.45m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[4].**.initialX,470.31m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[4].**.initialY,270.77m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[5].**.initialX,595.43m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[5].**.initialY,534.16m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[6].**.initialX,622.07m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[6].**.initialY,867.74m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[7].**.initialX,607.24m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[7].**.initialY,686.21m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[8].**.initialX,345.10m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[8].**.initialY,512.81m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[9].**.initialX,482.55m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[9].**.initialY,775.88m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[10].**.initialX,726.69m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[10].**.initialY,763.41m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[11].**.initialX,412.27m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[11].**.initialY,690.86m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[12].**.initialX,598.04m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[12].**.initialY,303.50m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[13].**.initialX,381.55m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[13].**.initialY,529.43m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[14].**.initialX,813.05m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[14].**.initialY,624.83m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[15].**.initialX,680.24m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[15].**.initialY,793.76m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[16].**.initialX,632.33m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[16].**.initialY,514.61m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[17].**.initialX,672.67m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[17].**.initialY,209.20m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[18].**.initialX,708.69m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[18].**.initialY,660.01m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[19].**.initialX,263.17m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[19].**.initialY,654.88m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[20].**.initialX,416.55m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[20].**.initialY,547.86m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[21].**.initialX,600.99m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[21].**.initialY,507.49m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[22].**.initialX,447.01m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[22].**.initialY,385.67m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[23].**.initialX,341.83m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[23].**.initialY,518.37m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[24].**.initialX,651.41m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[24].**.initialY,791.59m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[25].**.initialX,600.52m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[25].**.initialY,189.07m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[26].**.initialX,823.31m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[26].**.initialY,326.86m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[27].**.initialX,792.91m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[27].**.initialY,410.96m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[28].**.initialX,580.15m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[28].**.initialY,646.39m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[29].**.initialX,508.62m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[29].**.initialY,613.09m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[30].**.initialX,513.57m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[30].**.initialY,769.51m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[31].**.initialX,337.46m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[31].**.initialY,804.29m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[32].**.initialX,357.46m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[32].**.initialY,492.72m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[33].**.initialX,588.14m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[33].**.initialY,414.28m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[34].**.initialX,643.32m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[34].**.initialY,535.80m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[35].**.initialX,645.58m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[35].**.initialY,848.24m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[36].**.initialX,554.84m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[36].**.initialY,519.14m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[37].**.initialX,503.64m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[37].**.initialY,239.79m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[38].**.initialX,830.48m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[38].**.initialY,687.81m,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[39].**.initialX,707.13m,
